v_63,v_64,v_65,v_66,v_67,v_68,v_69,v_70,v_178,v_179,v_92,v_93,v_94,v_95,v_96,v_97,v_98,v_99,v_180,v_181,v_100,v_101,v_102,v_103,v_104,v_105,v_106,v_107,v_182,v_183,v_116,v_117,v_118,v_119,v_120,v_121,v_122,v_123,v_184,v_185,v_124,v_125,v_126,v_127,v_128,v_129,v_130,v_131,v_186,v_187,plz1,succ,labour,sh_famlab,fulltime,age,master,uaa,sh_grassland,organic,cows,milkyield,sh_rent
0,1,1,0,0,0,0,0,0,0,1,-77,-77,1,0,0,0,0,0,0,-77,-77,-77,-77,0,0,0,1,0,0,-77,-77,-77,-77,0,0,0,-77,0,1,-77,-77,-77,-77,1,0,0,-77,0,-77,9,1,3,1,1,28,1,60,33,0,80,8000,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,-77,0,-77,-77,-77,1,0,0,1,0,-77,0,-77,-77,-77,-77,0,0,-77,1,-77,0,-77,-77,-77,-77,8,1,3,.83333331,1,55,1,50,50,0,65,8000,50
1,0,0,0,0,0,1,0,1,0,-77,0,0,0,1,0,-77,0,-77,1,-77,0,0,0,-77,1,-77,1,-77,-77,-77,0,0,1,-77,-77,-77,-77,-77,-77,-77,1,1,-77,-77,-77,-77,-77,-77,-77,8,1,2.5,1,1,39.5,0,70,65,0,78,9000,80
0,0,1,0,0,0,0,1,1,0,0,0,-77,0,0,0,0,-77,-77,1,0,0,-77,1,0,0,0,-77,-77,-77,0,1,-77,-77,0,0,0,-77,-77,-77,0,-77,-77,-77,1,0,1,-77,-77,-77,8,1,2,.5,1,63,0,40,45,0,55,6363.636363636364,5
0,0,1,1,0,0,0,1,1,1,0,0,-77,-77,0,0,1,-77,-77,-77,0,0,-77,-77,1,0,-77,-77,-77,-77,0,0,-77,-77,-77,0,-77,-77,-77,-77,0,0,-77,-77,-77,0,-77,-77,-77,-77,9,1,2.5,1,1,60,1,150,30,0,45,7500,20
1,1,0,1,1,0,0,1,1,1,-77,-77,0,-77,-77,0,1,-77,-77,-77,-77,-77,0,-77,-77,0,-77,-77,-77,-77,-77,-77,0,-77,-77,1,-77,-77,-77,-77,-77,-77,1,-77,-77,-77,-77,-77,-77,-77,8,1,2,1,0,49,0,28,100,1,25,8000,5
1,1,1,1,1,0,0,1,1,1,-77,-77,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,0,1,-77,-77,-77,8,1,2,1,1,63,0,47,60,1,37,6300,50
0,0,1,0,1,0,0,0,1,0,0,0,-77,0,-77,0,1,1,-77,0,0,1,-77,0,-77,0,-77,-77,-77,1,0,-77,-77,1,-77,0,-77,-77,-77,-77,0,-77,-77,-77,-77,0,-77,-77,-77,-77,8,1,1.5,1,1,32,1,32,75,0,68,8088.235294117647,35
0,1,0,1,0,0,0,0,1,0,1,-77,0,-77,1,0,1,0,-77,1,-77,-77,0,-77,-77,0,-77,0,-77,-77,-77,-77,0,-77,-77,0,-77,0,-77,-77,-77,-77,0,-77,-77,0,-77,1,-77,-77,8,1,2.5,.98000002,1,29,1,100,50,0,100,6800,70
0,0,0,1,0,0,0,0,1,0,0,1,0,-77,1,0,0,0,-77,0,0,-77,0,-77,-77,0,0,0,-77,0,0,-77,0,-77,-77,0,0,1,-77,1,1,-77,0,-77,-77,0,1,-77,-77,-77,9,1,2.25,1,1,41,0,114,50,0,120,10000,40
0,0,1,0,0,0,0,0,1,1,0,0,-77,0,0,0,0,1,-77,-77,0,0,-77,0,1,0,1,-77,-77,-77,0,1,-77,0,-77,0,-77,-77,-77,-77,0,-77,-77,1,-77,0,-77,-77,-77,-77,8,1,1.5,1,1,38,1,110,60,0,80,8000,85
0,0,0,1,0,0,0,0,1,1,0,1,1,-77,1,0,0,1,-77,-77,0,-77,-77,-77,-77,0,0,-77,-77,-77,1,-77,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,0,0,-77,-77,-77,8,1,1.5,1,1,27,1,70,30,0,80,8000,60
0,1,0,1,1,0,0,1,0,0,0,-77,1,-77,-77,0,0,-77,0,0,0,-77,-77,-77,-77,1,1,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,0,1,0,-77,-77,-77,-77,-77,-77,-77,1,-77,8,1,3.5,1,1,57,0,51,60,0,50,7500,50
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,-77,0,1,0,-77,-77,0,0,-77,-77,-77,0,-77,0,-77,-77,0,1,-77,-77,-77,1,-77,1,-77,-77,0,-77,-77,-77,-77,9,1,2.8,1,1,52,0,92,45,0,90,10300,70
0,0,1,0,0,0,0,0,0,1,0,1,-77,1,1,0,0,0,1,-77,0,-77,-77,-77,-77,0,0,1,-77,-77,0,-77,-77,-77,-77,0,1,-77,-77,-77,1,-77,-77,-77,-77,0,-77,-77,-77,-77,8,1,2.75,.9818182,1,49,0,50,75,0,74,8175.675675675676,45
1,1,0,0,1,0,0,0,0,0,-77,-77,0,0,-77,0,0,0,0,0,-77,-77,1,0,-77,0,0,0,0,0,-77,-77,-77,1,-77,0,0,0,0,0,-77,-77,-77,-77,-77,0,1,0,0,0,9,1,2.5,1,1,30,1,140,30,0,140,10000,60
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,-77,-77,0,1,0,-77,1,0,0,0,-77,-77,1,-77,0,-77,-77,0,1,0,-77,-77,-77,-77,0,-77,-77,1,-77,0,-77,-77,-77,-77,9,1,1,1,0,46.5,0,28,40,0,25,6500,60
0,1,1,1,0,0,0,0,0,0,0,-77,-77,-77,1,1,0,0,1,1,0,-77,-77,-77,-77,-77,0,0,-77,-77,1,-77,-77,-77,-77,-77,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,8,1,2,1,1,36,1,70,40,0,75,7800,70
